2023-04-20 16:27:46.2046||DEBUG|App.Api.Program|init main |url: |action: 
2023-04-20 16:31:26.1067||DEBUG|App.Api.Program|init main |url: |action: 
2023-04-20 16:31:40.0079||INFO|IdentityServer4.Startup|Starting IdentityServer4 version 4.1.1+cebd52f5bc61bdefc262fd20739d4d087c6f961f |url: |action: 
2023-04-20 16:31:40.0565||INFO|IdentityServer4.Startup|Using the default authentication scheme oidc for IdentityServer |url: |action: 
2023-04-20 16:31:40.0565||DEBUG|IdentityServer4.Startup|Using oidc as default ASP.NET Core scheme for authentication |url: |action: 
2023-04-20 16:31:40.0565||DEBUG|IdentityServer4.Startup|Using oidc as default ASP.NET Core scheme for sign-in |url: |action: 
2023-04-20 16:31:40.0565||DEBUG|IdentityServer4.Startup|Using oidc as default ASP.NET Core scheme for sign-out |url: |action: 
2023-04-20 16:31:40.0565||DEBUG|IdentityServer4.Startup|Using oidc as default ASP.NET Core scheme for challenge |url: |action: 
2023-04-20 16:31:40.0686||DEBUG|IdentityServer4.Startup|Using oidc as default ASP.NET Core scheme for forbid |url: |action: 
2023-04-20 16:31:43.9195||DEBUG|IdentityServer4.Startup|Login Url: /Account/Login |url: https://localhost/|action: Index
2023-04-20 16:31:43.9275||DEBUG|IdentityServer4.Startup|Login Return Url Parameter: ReturnUrl |url: https://localhost/|action: Index
2023-04-20 16:31:43.9275||DEBUG|IdentityServer4.Startup|Logout Url: /Account/Logout |url: https://localhost/|action: Index
2023-04-20 16:31:43.9275||DEBUG|IdentityServer4.Startup|ConsentUrl Url: /consent |url: https://localhost/|action: Index
2023-04-20 16:31:43.9275||DEBUG|IdentityServer4.Startup|Consent Return Url Parameter: returnUrl |url: https://localhost/|action: Index
2023-04-20 16:31:43.9275||DEBUG|IdentityServer4.Startup|Error Url: /home/error |url: https://localhost/|action: Index
2023-04-20 16:31:43.9275||DEBUG|IdentityServer4.Startup|Error Id Parameter: errorId |url: https://localhost/|action: Index
2023-04-20 16:33:49.9184||DEBUG|IdentityServer4.Hosting.CorsPolicyProvider|CORS request made for path: /api/link-GC_LICH_HANG_NGAY/ from origin: http://localhost:8087 but was ignored because path was not for an allowed IdentityServer CORS endpoint |url: http://localhost/api/link-GC_LICH_HANG_NGAY/|action: Get
2023-04-20 16:33:51.6148||DEBUG|IdentityServer4.Hosting.CorsPolicyProvider|CORS request made for path: /connect/token from origin: http://localhost:8087 |url: http://localhost/connect/token|action: 
2023-04-20 16:33:51.6754||DEBUG|IdentityServer4.Hosting.CorsPolicyProvider|CORS request made for path: /api/link-GC_LICH_HANG_NGAY/ from origin: http://localhost:8087 but was ignored because path was not for an allowed IdentityServer CORS endpoint |url: http://localhost/api/link-GC_LICH_HANG_NGAY/|action: Get
2023-04-20 16:33:52.0997||DEBUG|IdentityServer4.EntityFramework.Services.CorsPolicyService|Origin http://localhost:8087 is allowed: True |url: http://localhost/connect/token|action: 
